Time,Data
2024-04-19 15:17:30,licenseCode Recognizer has been started...
2024-04-19 15:17:30,license Code Recognition system has been shut down.
2024-04-19 15:17:36,Vulnerable Location Checker has been started...
2024-04-19 15:17:46,licenseCode Recognizer has been started...
2024-04-19 15:17:46,license Code Recognition system has been shut down.
2024-04-19 15:17:48,licenseCode Recognizer has been started...
2024-04-19 15:17:48,license Code Recognition system has been shut down.
2024-04-19 15:17:49,licenseCode Recognizer has been started...
2024-04-19 15:17:49,license Code Recognition system has been shut down.
2024-04-19 15:18:02,A Vulnerable is detected. tracker_id: 1.
2024-04-19 15:18:05,license Plate is detected. tracker_id: 1
2024-04-19 15:18:05,"license Code has been read: 
1 : ogun_onargan "
2024-04-19 15:18:06,Vulnerable 1's image and bbox are updated.
2024-04-19 15:18:07,license Plate is detected. tracker_id: 1
2024-04-19 15:18:07,"license Code has been read: 
1 : ogun_onargan "
2024-04-19 15:18:07,license Plate is detected. tracker_id: 1
2024-04-19 15:18:07,Vulnerable 1's image and bbox are updated.
2024-04-19 15:18:08,license Plate is detected. tracker_id: 1
2024-04-19 15:18:08,"license Code has been read: 
1 : ogun_onargan "
2024-04-19 15:18:58,licenseCode Recognizer has been started...
2024-04-19 15:18:58,license Code Recognition system has been shut down.
2024-04-19 15:19:05,Vulnerable Location Checker has been started...
2024-04-19 15:19:15,licenseCode Recognizer has been started...
2024-04-19 15:19:15,license Code Recognition system has been shut down.
2024-04-19 15:19:16,licenseCode Recognizer has been started...
2024-04-19 15:19:16,license Code Recognition system has been shut down.
2024-04-19 15:19:17,licenseCode Recognizer has been started...
2024-04-19 15:19:17,license Code Recognition system has been shut down.
2024-04-19 15:19:28,A Vulnerable is detected. tracker_id: 1.
2024-04-19 15:19:30,license Plate is detected. tracker_id: 1
2024-04-19 15:19:30,"license Code has been read: 
1 : ogun_onargan "
2024-04-19 15:19:31,Vulnerable 1's image and bbox are updated.
2024-04-19 15:19:32,license Plate is detected. tracker_id: 1
2024-04-19 15:19:32,"license Code has been read: 
1 : ogun_onargan "
2024-04-19 15:19:38,Vulnerable 1's image and bbox are updated.
